feature,importance
total_debt_to_equity,0.20268310276285834
1240_st_fin_invest_lag1,0.19842384859419399
1520_trade_payables,0.19434939263103643
4320_fin_cash_out_lag1,0.1937327500438952
payables_turnover_lag1,0.19058687731578208
gpm_on_cogs_lag1,0.1905067034642239
own_working_capital_adequacy_lag1,0.18863119577872675
return_on_costs_lag1,0.18726793300119154
1100_total_non_curr_assets_lag1,0.1857934384166817
1600_total_assets_lag1,0.18183437012810838
4300_cff_lag1,0.1699499957056302
2300_ebt_lag1,0.1697266023102317
2220_admin_exp,0.1690845269870518
1400_total_lt_liab,0.1646254622437345
4214_div_received_lag1,0.1609291535841808
1310_share_cap,0.1546917889480005
1700_total_liab_lag1,0.151572488091731
working_capital_to_total_assets_lag1,0.15016515009540168
4112_rent_commis_prcds_lag1,0.14987450881495518
net_profit_margin_lag1,0.14680610910820208
4124_income_tax_cf_lag1,0.14283274186934788
1260_other_curr_assets_lag1,0.14239444947968952
1510_st_debt_lag1,0.14191417229365647
2220_admin_exp_lag1,0.1399799744336534
4311_borrowing_cash_in_lag1,0.13838654974496511
4124_income_tax_cf,0.133328018596375
4121_pmnts_to_spplrs_lag1,0.1317402503938454
1500_total_st_liab_lag1,0.1309084173529373
2330_interest_paid,0.1306085787682879
1220_vat_on_aquired,0.13019241178877472
4111_sales_prcds_lag1,0.12973193294822685
4400_ncf_lag1,0.1291637912657564
1370_ret_earnings,0.12649123949587016
4322_div_pmnt,0.12495031819547865
days_purch_outst_lag1,0.12289110033894118
2400_net_pofit_lag1,0.11844161476284314
4100_cfo_lag1,0.11786746279792874
gpm_lag1,0.11736387280171491
1220_vat_on_aquired_lag1,0.11409229567474213
4122_payroll_lag1,0.11303562789396975
1530_def_income_lag1,0.11103827720439832
gpm_on_cogs,0.1098935185287563
1190_other_non_curr_assets_lag1,0.10902816257453198
1310_share_cap_lag1,0.10801295650232463
1450_other_lt_liab,0.10795844482835265
1240_st_fin_invest,0.10638806324084714
4322_div_pmnt_lag1,0.10320989340647402
1170_lt_fin_invest,0.10222349957408572
1410_lt_debt_lag1,0.10063663051157454
cae_to_revenue,0.09874252925309035
gpm,0.09189725696835346
4211_non_curr_assets_sales_lag1,0.09051620843163581
4121_pmnts_to_spplrs,0.08989949292862695
days_sales_outst_lag1,0.08957025097651368
1420_def_tax_liab_lag1,0.0887853015085918
1550_other_st_oblig_lag1,0.08607319884600527
current_liquidity_lag1,0.08595758494281643
1170_lt_fin_invest_lag1,0.08503273282627948
4211_non_curr_assets_sales,0.08438829572008334
4120_oper_cash_out_lag1,0.08401806616942319
4120_oper_cash_out,0.08034589329547377
4112_rent_commis_prcds,0.08008903981015797
1360_reserve_funds_lag1,0.07929646387366025
4311_borrowing_cash_in,0.07726463050309242
2320_interest_received_lag1,0.07299252827609135
1350_add_paid_cap_lag1,0.07286496060516512
4100_cfo,0.0715426990176357
1500_total_st_liab,0.07138159845537358
4110_oper_cash_in,0.07123199241087436
4200_cfi_lag1,0.07097004188110997
2320_interest_received,0.06046413793955449
4200_cfi,0.05924968413333824
1180_def_tax_assets_lag1,0.05874422277143797
1420_def_tax_liab,0.05829063751210577
4213_debt_sec_sales_lag1,0.0571091942533652
1410_lt_debt,0.0563526502234632
1110_int_assets,0.0557898183400122
4310_fin_cash_in_lag1,0.053822108263172116
1180_def_tax_assets,0.05236935103721549
4320_fin_cash_out,0.045370203427352346
1530_def_income,0.043816389658898156
4310_fin_cash_in,0.04365531269883383
4110_oper_cash_in_lag1,0.042391359034343316
2310_income_from_subs_lag1,0.03997679827568851
4111_sales_prcds,0.03576015448799162
4221_non_curr_assets_purch_lag1,0.035699844592989124
4210_inv_cash_in,0.03563178200183426
4312_shrhldrs_contrib_lag1,0.034338344424389294
1340_reval_of_non_curr_assets,0.033410167784100296
4123_int_on_debt,0.03173351986339536
1160_investment_in_ta_lag1,0.03067985559164381
1340_reval_of_non_curr_assets_lag1,0.029492568435846307
4210_inv_cash_in_lag1,0.0286196302628035
4223_debt_sec_purch,0.0265892715429498
4300_cff,0.026384626351973764
1320_treas_shares,0.026316480625290052
1160_investment_in_ta,0.02409568848080585
4220_inv_cash_out_lag1,0.023961514049036032
1350_add_paid_cap,0.020835566873954846
4323_loans_repmnt ,0.020685417380098988
4213_debt_sec_sales,0.020048480698978507
1190_other_non_curr_assets,0.01934441783513757
4222_3rd_part_shares_purch_lag1,0.01876432131259781
4223_debt_sec_purch_lag1,0.014545744322905244
1550_other_st_oblig,0.012808698763719118
4113_fin_inv_sales_prcds_lag1,0.012220090973741509
2310_income_from_subs,0.010358879123822622
4212_3rd_part_shares_sales,0.008847873930866697
1320_treas_shares_lag1,0.007475421070733411
4224_inv_interest_pmnt,0.005998643342240807
4314_debt_sec_issue_lag1,0.005197787771783115
4222_3rd_part_shares_purch,0.00440682166733485
4224_inv_interest_pmnt_lag1,0.004375037103427281
4321_shares_buyout,0.004164607399409475
4212_3rd_part_shares_sales_lag1,0.0038756283840704437
4321_shares_buyout_lag1,0.003820691304843342
4314_debt_sec_issue,0.003468217698272458
4312_shrhldrs_contrib,0.0034629176109313383
4113_fin_inv_sales_prcds,0.0030448312252905085
4313_shares_issue,0.0018085158208849675
4313_shares_issue_lag1,0.0003843023724863484
